"slnum"	"tour_purpose"	"tourPrpAgg"
1	"atwork_business"	"atwork"
2	"atwork_eat"	"atwork"
3	"atwork_maint"	"atwork"
4	"eatout"	"eatout"
5	"escort_kids"	"escort"
6	"escort_nokids"	"escort"
7	"othdiscr"	"other"
8	"othmaint"	"other"
9	"school_drive"	"school"
10	"school_predrive"	"school"
11	"shopping"	"shopping"
12	"social"	"shopping"
13	"university"	"university"
14	"work_bluecollar"	"work"
15	"work_health"	"work"
16	"work_retailandfood"	"work"
17	"work_services"	"work"
18	"work_whitecollar"	"work"
